year,state,code,source,generation,price,revenue
2010,Alaska,AK,Coal,620443.0,0.007745561511752081,4.805679421035996
2010,Alaska,AK,Hydroelectric Conventional,1433141.0,0.038,54.459358
2010,Alaska,AK,Natural Gas,3750024.0,0.017372013651877134,65.1454681228669
2010,Alaska,AK,Other Biomass,6304.0,0.076,0.479104
2010,Alaska,AK,Petroleum,937056.0,0.03255972696245733,30.51028750853242
2010,Alaska,AK,Wind,12607.0,0.251,3.164357
2010,Alabama,AL,Coal,63050411.0,0.007745561511752081,488.36083674175
2010,Alabama,AL,Hydroelectric Conventional,8704254.0,0.038,330.761652
2010,Alabama,AL,Natural Gas,39235017.0,0.017372013651877134,681.5912509556315
2010,Alabama,AL,Other Biomass,11533.0,0.076,0.876508
2010,Alabama,AL,Petroleum,199854.0,0.03255972696245733,6.507191672354947
2010,Arkansas,AR,Coal,28152445.0,0.007745561511752081,218.05649445371728
2010,Arkansas,AR,Hydroelectric Conventional,3658962.0,0.038,139.040556
2010,Arkansas,AR,Natural Gas,12469077.0,0.017372013651877134,216.61297587030717
2010,Arkansas,AR,Other Biomass,56959.0,0.076,4.328884
2010,Arkansas,AR,Petroleum,45179.0,0.03255972696245733,1.4710159044368598
2010,Arizona,AZ,Coal,43643807.0,0.007745561511752081,338.04579172553605
2010,Arizona,AZ,Hydroelectric Conventional,6622160.0,0.038,251.64208
2010,Arizona,AZ,Natural Gas,29675942.0,0.017372013651877134,515.5308695563141
2010,Arizona,AZ,Other Biomass,28411.0,0.076,2.159236
2010,Arizona,AZ,Petroleum,66434.0,0.03255972696245733,2.1630729010238903
2010,Arizona,AZ,Solar Thermal and Photovoltaic,15754.0,0.7210000000000001,11.358634000000002
2010,Arizona,AZ,Wind,134916.0,0.251,33.863916
2010,California,CA,Coal,2100221.0,0.007745561511752081,16.267390943773467
2010,California,CA,Geothermal,12600098.0,0.049,617.404802
2010,California,CA,Hydroelectric Conventional,33430870.0,0.038,1270.37306
2010,California,CA,Natural Gas,107522313.0,0.017372013651877134,1867.8790893174062
2010,California,CA,Other Biomass,2450783.0,0.076,186.259508
2010,California,CA,Petroleum,1059289.0,0.03255972696245733,34.490160614334464
2010,California,CA,Solar Thermal and Photovoltaic,769331.0,0.7210000000000001,554.6876510000001
2010,California,CA,Wind,6078632.0,0.251,1525.736632
2010,Colorado,CO,Coal,34559290.0,0.007745561511752081,267.6811064974786
2010,Colorado,CO,Hydroelectric Conventional,1578264.0,0.038,59.974032
2010,Colorado,CO,Natural Gas,11062275.0,0.017372013651877134,192.17399232081914
